x,y,z,posture
-83.31,-0.84,2.56,0
-84.73,-5.25,-0.41,0
-86.51,-3.49,0.06,0
-89.55,0.44,-0.11,0
-81.96,-0.69,8.01,0
-79.34,-5.3,9.22,0
-79.85,1.32,10.06,0
-82.63,1.51,7.21,0
-88.06,-1.93,-0.23,0
-87.54,-1.31,-2.08,0
-81.24,-1.24,-8.67,0
-84.79,0.32,-5.2,0
-87.31,-1.2,-2.41,0
-88.25,-1.45,-0.98,1
-86.85,-3.02,0.89,1
-88.99,-0.92,0.4,1
-86.73,-3.27,0.05,1
-88.66,0.82,-1.06,1
-83.45,-6.28,1.86,1
-86.33,3.34,1.52,1
-82.57,-6.82,2.95,1
-87.56,-1.74,-1.71,1
-82.55,-0.84,7.41,1
-81.61,-4.58,7.02,1
-81.26,-7.82,3.88,1
-85.54,-4.01,1.75,1
-84.75,-3.86,3.55,1
-87.87,-1.77,1.19,1
-89.35,-0.31,0.57,1
-54.72,-10.83,-33.11,2
-53.14,-12.32,-34.1,2
-63.17,15.15,-21.6,2
-59.48,11.86,-27.67,2
-57.18,-15.06,-28.4,2
-76.08,-3.01,-13.58,2
-79.69,-3.46,-9.69,2
-72.52,-2.59,-17.67,2
-71.84,-2.77,-17.93,2
-70.61,4.21,-18.89,2
-71.4,-2.75,-18.38,2
-70.19,-9.61,-17.15,2
-68.01,-2.55,-21.83,2
-66.7,-4.45,-22.83,2
-66.85,1.69,-23.08,2
-65.78,-2.86,-24.03,2
-64.47,-2.82,-25.35,2
-64.19,-2.93,-25.62,2
-64.13,-3.15,-25.65,2
-63.51,-3.51,-26.22,2
-41.24,-3.41,48.56,3
-41.6,12.54,45.69,3
-42.73,-1.16,47.25,3
-41.93,-4.49,47.72,3
-42.66,14.21,43.88,3
-38.29,1.43,51.67,3
-41.22,10.32,46.93,3
-36.08,-7.59,52.88,3
-46.2,6.55,43.05,3
-50.7,5.93,38.684,3
-54.66,8.34,34.05,3
-40,3.82,49.74,3
-40.25,7.84,48.67,3
-41.49,3.59,48.28,3
